"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","291","RBL Lead Status Setup","RBL Tests","Wed Aug 13 11:34:48 IST 2025","passed","Wed Aug 13 11:34:48 IST 2025","RBL - Lead Process Field Setup Tests > RBL Lead Status Creation and Updation","RBL/RBL/F_setupLeadProcessField.spec.js","",""
"","8644","Disposition Question Setup","Sanity Tests","Tue Aug 05 20:42:35 IST 2025","passed","Tue Aug 05 20:42:43 IST 2025","Disposition Question Setup Tests > Disposition Question Creation and Updation","","",""
"","14","ClickOnLeadLostReasonNavigationTest","Sanity Tests","Mon Aug 04 16:04:22 IST 2025","skipped","Mon Aug 04 16:04:22 IST 2025","Lead Process Field Setup Tests","","",""
"","11719","LeadStageSetupTest","Sanity Tests","Mon Aug 04 18:58:44 IST 2025","passed","Mon Aug 04 18:58:55 IST 2025","Lead Process Field Setup Tests","","",""
"","2628","ClickOnLeadStageNavigationTest","Sanity Tests","Mon Aug 04 16:03:58 IST 2025","passed","Mon Aug 04 16:04:00 IST 2025","Lead Process Field Setup Tests","","",""
"","31775","RBL Tabbing System Setup Elements","RBL Tests","Wed Aug 13 12:02:42 IST 2025","failed","Wed Aug 13 12:03:14 IST 2025","RBL - System Setup Tabbing Functionality","RBL/RBL/1_Tabbing.spec.js","",""
"","2","RBL Update Field Test","RBL Tests","Wed Aug 13 11:23:27 IST 2025","skipped","Wed Aug 13 11:23:27 IST 2025","RBL - Field Setup Tests","RBL/RBL/D_setupField.spec.js","",""
"","6","RBL Create Skill","RBL Tests","Wed Aug 13 11:23:19 IST 2025","failed","Wed Aug 13 11:23:19 IST 2025","RBL - Skill Setup Tests","RBL/RBL/C_setupSkill.spec.js","",""
"","3","RBL User Creation Test","RBL Tests","Wed Aug 13 11:22:53 IST 2025","failed","Wed Aug 13 11:22:53 IST 2025","RBL - User Creation and Updation Tests","RBL/RBL/A_UsersCreationUpdation.spec.js","",""
"","738","RBL Update Disposition Screen Test","RBL Tests","Wed Aug 13 11:24:43 IST 2025","skipped","Wed Aug 13 11:24:43 IST 2025","RBL - Disposition Screen Setup Tests","RBL/RBL/H_setupDispositionScreen.spec.js","",""
"","1698","Click on Lead Stage","RBL Tests","Wed Aug 13 11:34:32 IST 2025","passed","Wed Aug 13 11:34:34 IST 2025","RBL - Lead Process Field Setup Tests > RBL Lead Stage Creation and Updation","RBL/RBL/F_setupLeadProcessField.spec.js","",""
"","5","CreateLeadLostReasonTest","Sanity Tests","Mon Aug 04 15:44:24 IST 2025","skipped","Mon Aug 04 15:44:24 IST 2025","Lead Process Field Setup Tests","","",""
"","1933","Click on Lead Stage for Update","RBL Tests","Wed Aug 13 11:34:44 IST 2025","passed","Wed Aug 13 11:34:46 IST 2025","RBL - Lead Process Field Setup Tests > RBL Lead Stage Creation and Updation","RBL/RBL/F_setupLeadProcessField.spec.js","",""
